,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,13.1.85,"08/04/2023, 00:30:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/04/2023, 00:00:00"
13,,13.1.85,"08/04/2023, 08:00:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/04/2023, 07:30:00"
12,,13.1.85,"08/04/2023, 11:00:00","{""1"":2,""2"":2}",lumi.158d0008f34a8f,4,"08/04/2023, 10:30:00"
11,,13.1.85,"08/04/2023, 14:00:00","{""1"":2}",lumi.158d0008f34a8f,4,"08/04/2023, 13:30:00"
10,,13.1.85,"08/04/2023, 14:30:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/04/2023, 14:00:00"
9,,13.1.85,"08/05/2023, 11:00:00","{""1"":1,""2"":1}",lumi.158d0008f34a8f,4,"08/05/2023, 10:30:00"
8,,13.1.85,"08/05/2023, 12:30:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/05/2023, 12:00:00"
7,,13.1.85,"08/05/2023, 22:00:00","{""1"":1,""2"":1}",lumi.158d0008f34a8f,4,"08/05/2023, 21:30:00"
6,,13.1.85,"08/06/2023, 13:30:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/06/2023, 13:00:00"
5,,13.1.85,"08/06/2023, 16:00:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/06/2023, 15:30:00"
4,,13.1.85,"08/06/2023, 17:30:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/06/2023, 17:00:00"
3,,13.1.85,"08/06/2023, 19:00:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/06/2023, 18:30:00"
2,,13.1.85,"08/06/2023, 20:30:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/06/2023, 20:00:00"
1,,13.1.85,"08/06/2023, 21:00:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/06/2023, 20:30:00"
0,,13.1.85,"08/07/2023, 00:00:00","{""1"":1}",lumi.158d0008f34a8f,4,"08/06/2023, 23:30:00"
