,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,0.13.85,"09/01/2023, 00:00:00",18.04,lumi.54ef4410001e9c6b,0,"09/01/2023, 00:00:00"
13,,0.13.85,"09/01/2023, 04:30:00",75.83,lumi.54ef4410001e9c6b,0,"09/01/2023, 00:30:00"
12,,0.13.85,"09/01/2023, 09:00:00",0.04,lumi.54ef4410001e9c6b,0,"09/01/2023, 07:30:00"
11,,0.13.85,"09/01/2023, 14:00:00",0.04,lumi.54ef4410001e9c6b,0,"09/01/2023, 13:30:00"
10,,0.13.85,"09/01/2023, 17:30:00",0.07,lumi.54ef4410001e9c6b,0,"09/01/2023, 15:30:00"
9,,0.13.85,"09/02/2023, 01:00:00",93.6,lumi.54ef4410001e9c6b,0,"09/01/2023, 23:00:00"
8,,0.13.85,"09/02/2023, 04:00:00",48.57,lumi.54ef4410001e9c6b,0,"09/02/2023, 01:30:00"
7,,0.13.85,"09/02/2023, 08:30:00",45.36,lumi.54ef4410001e9c6b,0,"09/02/2023, 06:30:00"
6,,0.13.85,"09/02/2023, 15:30:00",0.06,lumi.54ef4410001e9c6b,0,"09/02/2023, 12:00:00"
5,,0.13.85,"09/02/2023, 18:00:00",0.02,lumi.54ef4410001e9c6b,0,"09/02/2023, 18:00:00"
4,,0.13.85,"09/03/2023, 02:00:00",179.33,lumi.54ef4410001e9c6b,0,"09/02/2023, 21:30:00"
3,,0.13.85,"09/03/2023, 05:30:00",0.05,lumi.54ef4410001e9c6b,0,"09/03/2023, 02:30:00"
2,,0.13.85,"09/03/2023, 08:00:00",0.05,lumi.54ef4410001e9c6b,0,"09/03/2023, 07:30:00"
1,,0.13.85,"09/03/2023, 22:00:00",0.11,lumi.54ef4410001e9c6b,0,"09/03/2023, 17:30:00"
0,,0.13.85,"09/04/2023, 00:00:00",10.7,lumi.54ef4410001e9c6b,0,"09/04/2023, 00:00:00"
