,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
19,,3.1.85,"09/04/2023, 02:00:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/04/2023, 01:30:00"
18,,3.1.85,"09/04/2023, 11:30:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/04/2023, 11:00:00"
17,,3.1.85,"09/04/2023, 12:00:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/04/2023, 11:30:00"
16,,3.1.85,"09/04/2023, 15:30:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/04/2023, 15:00:00"
15,,3.1.85,"09/04/2023, 18:00:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/04/2023, 17:30:00"
14,,3.1.85,"09/04/2023, 22:00:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/04/2023, 21:30:00"
13,,3.1.85,"09/04/2023, 23:00:00","{""1"":4}",lumi.54ef44100051aa5f,4,"09/04/2023, 22:30:00"
12,,3.1.85,"09/05/2023, 13:00:00","{""1"":2}",lumi.54ef44100051aa5f,4,"09/05/2023, 12:30:00"
11,,3.1.85,"09/05/2023, 13:30:00","{""1"":3}",lumi.54ef44100051aa5f,4,"09/05/2023, 13:00:00"
10,,3.1.85,"09/05/2023, 20:30:00","{""1"":3}",lumi.54ef44100051aa5f,4,"09/05/2023, 20:00:00"
9,,3.1.85,"09/05/2023, 22:00:00","{""1"":2}",lumi.54ef44100051aa5f,4,"09/05/2023, 21:30:00"
8,,3.1.85,"09/05/2023, 22:30:00","{""1"":3}",lumi.54ef44100051aa5f,4,"09/05/2023, 22:00:00"
7,,3.1.85,"09/05/2023, 23:30:00","{""1"":2}",lumi.54ef44100051aa5f,4,"09/05/2023, 23:00:00"
6,,3.1.85,"09/06/2023, 00:00:00","{""1"":3}",lumi.54ef44100051aa5f,4,"09/05/2023, 23:30:00"
5,,3.1.85,"09/06/2023, 00:30:00","{""1"":8}",lumi.54ef44100051aa5f,4,"09/06/2023, 00:00:00"
4,,3.1.85,"09/06/2023, 01:00:00","{""1"":3}",lumi.54ef44100051aa5f,4,"09/06/2023, 00:30:00"
3,,3.1.85,"09/06/2023, 17:30:00","{""1"":2}",lumi.54ef44100051aa5f,4,"09/06/2023, 17:00:00"
2,,3.1.85,"09/06/2023, 18:00:00","{""1"":2}",lumi.54ef44100051aa5f,4,"09/06/2023, 17:30:00"
1,,3.1.85,"09/06/2023, 22:30:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/06/2023, 22:00:00"
0,,3.1.85,"09/07/2023, 00:00:00","{""1"":1}",lumi.54ef44100051aa5f,4,"09/06/2023, 23:30:00"
