,timeStamp,resourceId,value,subjectId
16,"12/01/2023, 22:45:10",13.1.85,1,lumi.158d0008f34c4c
15,"12/01/2023, 22:45:24",13.1.85,2,lumi.158d0008f34c4c
14,"12/01/2023, 23:13:13",13.1.85,1,lumi.158d0008f34c4c
13,"12/01/2023, 23:20:17",13.1.85,1,lumi.158d0008f34c4c
12,"12/01/2023, 23:42:58",13.1.85,1,lumi.158d0008f34c4c
11,"12/01/2023, 23:43:03",13.1.85,2,lumi.158d0008f34c4c
10,"12/02/2023, 08:38:44",13.1.85,2,lumi.158d0008f34c4c
9,"12/02/2023, 08:38:45",13.1.85,1,lumi.158d0008f34c4c
8,"12/02/2023, 08:39:48",13.1.85,1,lumi.158d0008f34c4c
7,"12/02/2023, 08:39:50",13.1.85,2,lumi.158d0008f34c4c
6,"12/02/2023, 08:41:07",13.1.85,1,lumi.158d0008f34c4c
5,"12/02/2023, 08:50:12",13.1.85,1,lumi.158d0008f34c4c
4,"12/02/2023, 08:59:19",13.1.85,1,lumi.158d0008f34c4c
3,"12/02/2023, 09:07:35",13.1.85,1,lumi.158d0008f34c4c
2,"12/02/2023, 09:16:14",13.1.85,1,lumi.158d0008f34c4c
1,"12/02/2023, 09:43:57",13.1.85,1,lumi.158d0008f34c4c
0,"12/02/2023, 12:46:49",13.1.85,1,lumi.158d0008f34c4c
