,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
22,,13.1.85,"05/15/2023, 00:30:00","{""1"":2,""2"":1}",lumi.158d0008f34a70,4,"05/15/2023, 00:00:00"
21,,13.1.85,"05/15/2023, 09:00:00","{""1"":1,""2"":1}",lumi.158d0008f34a70,4,"05/15/2023, 08:30:00"
20,,13.1.85,"05/15/2023, 20:00:00","{""1"":1}",lumi.158d0008f34a70,4,"05/15/2023, 19:30:00"
19,,13.1.85,"05/15/2023, 21:00:00","{""2"":1}",lumi.158d0008f34a70,4,"05/15/2023, 20:30:00"
18,,13.1.85,"05/15/2023, 21:30:00","{""1"":1,""2"":1}",lumi.158d0008f34a70,4,"05/15/2023, 21:00:00"
17,,13.1.85,"05/15/2023, 22:30:00","{""1"":1}",lumi.158d0008f34a70,4,"05/15/2023, 22:00:00"
16,,13.1.85,"05/15/2023, 23:00:00","{""1"":1}",lumi.158d0008f34a70,4,"05/15/2023, 22:30:00"
15,,13.1.85,"05/15/2023, 23:30:00","{""1"":3,""2"":1}",lumi.158d0008f34a70,4,"05/15/2023, 23:00:00"
14,,13.1.85,"05/16/2023, 08:30:00","{""1"":2}",lumi.158d0008f34a70,4,"05/16/2023, 08:00:00"
13,,13.1.85,"05/16/2023, 19:00:00","{""1"":1}",lumi.158d0008f34a70,4,"05/16/2023, 18:30:00"
12,,13.1.85,"05/16/2023, 19:30:00","{""1"":1}",lumi.158d0008f34a70,4,"05/16/2023, 19:00:00"
11,,13.1.85,"05/16/2023, 20:00:00","{""1"":4,""2"":1}",lumi.158d0008f34a70,4,"05/16/2023, 19:30:00"
10,,13.1.85,"05/16/2023, 20:30:00","{""1"":2}",lumi.158d0008f34a70,4,"05/16/2023, 20:00:00"
9,,13.1.85,"05/16/2023, 21:00:00","{""1"":2,""2"":2}",lumi.158d0008f34a70,4,"05/16/2023, 20:30:00"
8,,13.1.85,"05/16/2023, 21:30:00","{""1"":1}",lumi.158d0008f34a70,4,"05/16/2023, 21:00:00"
7,,13.1.85,"05/17/2023, 13:30:00","{""1"":1}",lumi.158d0008f34a70,4,"05/17/2023, 13:00:00"
6,,13.1.85,"05/17/2023, 14:30:00","{""1"":1}",lumi.158d0008f34a70,4,"05/17/2023, 14:00:00"
5,,13.1.85,"05/17/2023, 17:30:00","{""2"":1}",lumi.158d0008f34a70,4,"05/17/2023, 17:00:00"
4,,13.1.85,"05/17/2023, 18:00:00","{""1"":2}",lumi.158d0008f34a70,4,"05/17/2023, 17:30:00"
3,,13.1.85,"05/17/2023, 21:00:00","{""1"":1}",lumi.158d0008f34a70,4,"05/17/2023, 20:30:00"
2,,13.1.85,"05/17/2023, 23:00:00","{""1"":1}",lumi.158d0008f34a70,4,"05/17/2023, 22:30:00"
1,,13.1.85,"05/17/2023, 23:30:00","{""1"":3,""2"":1}",lumi.158d0008f34a70,4,"05/17/2023, 23:00:00"
0,,13.1.85,"05/18/2023, 00:00:00","{""1"":1}",lumi.158d0008f34a70,4,"05/17/2023, 23:30:00"
