,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
23,,3.1.85,"09/01/2023, 00:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/01/2023, 00:00:00"
22,,3.1.85,"09/01/2023, 04:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/01/2023, 04:00:00"
21,,3.1.85,"09/01/2023, 15:00:00","{""0"":4,""1"":4}",lumi.54ef4410003fdd47,4,"09/01/2023, 14:30:00"
20,,3.1.85,"09/01/2023, 15:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/01/2023, 15:00:00"
19,,3.1.85,"09/01/2023, 18:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fdd47,4,"09/01/2023, 18:00:00"
18,,3.1.85,"09/01/2023, 19:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/01/2023, 18:30:00"
17,,3.1.85,"09/01/2023, 19:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/01/2023, 19:00:00"
16,,3.1.85,"09/01/2023, 20:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/01/2023, 19:30:00"
15,,3.1.85,"09/01/2023, 22:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/01/2023, 22:00:00"
14,,3.1.85,"09/02/2023, 10:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/02/2023, 09:30:00"
13,,3.1.85,"09/02/2023, 14:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/02/2023, 14:00:00"
12,,3.1.85,"09/02/2023, 16:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/02/2023, 15:30:00"
11,,3.1.85,"09/02/2023, 16:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/02/2023, 16:00:00"
10,,3.1.85,"09/02/2023, 17:00:00","{""0"":5,""1"":6}",lumi.54ef4410003fdd47,4,"09/02/2023, 16:30:00"
9,,3.1.85,"09/02/2023, 17:30:00","{""0"":4,""1"":3}",lumi.54ef4410003fdd47,4,"09/02/2023, 17:00:00"
8,,3.1.85,"09/02/2023, 18:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/02/2023, 17:30:00"
7,,3.1.85,"09/02/2023, 23:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/02/2023, 22:30:00"
6,,3.1.85,"09/03/2023, 01:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/03/2023, 00:30:00"
5,,3.1.85,"09/03/2023, 11:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fdd47,4,"09/03/2023, 11:00:00"
4,,3.1.85,"09/03/2023, 12:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/03/2023, 12:00:00"
3,,3.1.85,"09/03/2023, 13:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/03/2023, 13:00:00"
2,,3.1.85,"09/03/2023, 15:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"09/03/2023, 15:00:00"
1,,3.1.85,"09/03/2023, 16:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/03/2023, 16:00:00"
0,,3.1.85,"09/03/2023, 21:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"09/03/2023, 21:00:00"
