,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
10,,3.1.85,"05/27/2023, 16:00:00","{""0"":3,""1"":3}",lumi.54ef4410003fdd47,4,"05/27/2023, 15:30:00"
9,,3.1.85,"05/28/2023, 15:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"05/28/2023, 15:00:00"
8,,3.1.85,"05/28/2023, 16:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"05/28/2023, 15:30:00"
7,,3.1.85,"05/28/2023, 16:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fdd47,4,"05/28/2023, 16:00:00"
6,,3.1.85,"05/28/2023, 17:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"05/28/2023, 16:30:00"
5,,3.1.85,"05/28/2023, 18:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"05/28/2023, 17:30:00"
4,,3.1.85,"05/28/2023, 18:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"05/28/2023, 18:00:00"
3,,3.1.85,"05/28/2023, 19:00:00","{""0"":6,""1"":6}",lumi.54ef4410003fdd47,4,"05/28/2023, 18:30:00"
2,,3.1.85,"05/29/2023, 01:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"05/29/2023, 01:00:00"
1,,3.1.85,"05/29/2023, 02:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdd47,4,"05/29/2023, 01:30:00"
0,,3.1.85,"05/29/2023, 21:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdd47,4,"05/29/2023, 20:30:00"
