,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,3.1.85,"08/13/2023, 00:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/13/2023, 00:00:00"
13,,3.1.85,"08/13/2023, 01:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd291,4,"08/13/2023, 01:00:00"
12,,3.1.85,"08/13/2023, 10:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/13/2023, 09:30:00"
11,,3.1.85,"08/13/2023, 10:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/13/2023, 10:00:00"
10,,3.1.85,"08/13/2023, 13:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/13/2023, 12:30:00"
9,,3.1.85,"08/13/2023, 13:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/13/2023, 13:00:00"
8,,3.1.85,"08/13/2023, 23:00:00","{""0"":6,""1"":6}",lumi.54ef4410003fd291,4,"08/13/2023, 22:30:00"
7,,3.1.85,"08/14/2023, 09:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/14/2023, 08:30:00"
6,,3.1.85,"08/14/2023, 18:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/14/2023, 17:30:00"
5,,3.1.85,"08/15/2023, 10:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/15/2023, 09:30:00"
4,,3.1.85,"08/15/2023, 12:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd291,4,"08/15/2023, 12:00:00"
3,,3.1.85,"08/15/2023, 13:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/15/2023, 12:30:00"
2,,3.1.85,"08/15/2023, 16:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fd291,4,"08/15/2023, 15:30:00"
1,,3.1.85,"08/15/2023, 18:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fd291,4,"08/15/2023, 18:00:00"
0,,3.1.85,"08/15/2023, 23:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"08/15/2023, 22:30:00"
