,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,0.13.85,"05/18/2023, 04:00:00",2.3200000000000003,lumi.54ef44100062b07f,0,"05/18/2023, 00:00:00"
13,,0.13.85,"05/18/2023, 09:00:00",2.56,lumi.54ef44100062b07f,0,"05/18/2023, 04:30:00"
12,,0.13.85,"05/18/2023, 14:00:00",2.5800000000000005,lumi.54ef44100062b07f,0,"05/18/2023, 09:30:00"
11,,0.13.85,"05/18/2023, 19:00:00",2.61,lumi.54ef44100062b07f,0,"05/18/2023, 14:30:00"
10,,0.13.85,"05/19/2023, 00:00:00",3.0500000000000003,lumi.54ef44100062b07f,0,"05/18/2023, 19:30:00"
9,,0.13.85,"05/19/2023, 05:00:00",2.6,lumi.54ef44100062b07f,0,"05/19/2023, 00:30:00"
8,,0.13.85,"05/19/2023, 10:00:00",2.5700000000000003,lumi.54ef44100062b07f,0,"05/19/2023, 05:30:00"
7,,0.13.85,"05/19/2023, 15:00:00",3.3000000000000007,lumi.54ef44100062b07f,0,"05/19/2023, 10:30:00"
6,,0.13.85,"05/19/2023, 20:00:00",3.3299999999999996,lumi.54ef44100062b07f,0,"05/19/2023, 15:30:00"
5,,0.13.85,"05/20/2023, 01:00:00",109.17999999999998,lumi.54ef44100062b07f,0,"05/19/2023, 20:30:00"
4,,0.13.85,"05/20/2023, 06:00:00",2.5700000000000003,lumi.54ef44100062b07f,0,"05/20/2023, 01:30:00"
3,,0.13.85,"05/20/2023, 11:00:00",2.9600000000000004,lumi.54ef44100062b07f,0,"05/20/2023, 06:30:00"
2,,0.13.85,"05/20/2023, 16:00:00",3.69,lumi.54ef44100062b07f,0,"05/20/2023, 11:30:00"
1,,0.13.85,"05/20/2023, 21:00:00",2.870000000000001,lumi.54ef44100062b07f,0,"05/20/2023, 16:30:00"
0,,0.13.85,"05/21/2023, 00:00:00",1.56,lumi.54ef44100062b07f,0,"05/20/2023, 21:30:00"
