,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
12,,3.1.85,"09/07/2023, 03:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fe1c9,4,"09/07/2023, 02:30:00"
11,,3.1.85,"09/07/2023, 10:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/07/2023, 10:00:00"
10,,3.1.85,"09/07/2023, 22:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/07/2023, 22:00:00"
9,,3.1.85,"09/07/2023, 23:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/07/2023, 22:30:00"
8,,3.1.85,"09/08/2023, 03:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fe1c9,4,"09/08/2023, 02:30:00"
7,,3.1.85,"09/08/2023, 04:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fe1c9,4,"09/08/2023, 04:00:00"
6,,3.1.85,"09/08/2023, 14:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/08/2023, 13:30:00"
5,,3.1.85,"09/08/2023, 20:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fe1c9,4,"09/08/2023, 19:30:00"
4,,3.1.85,"09/08/2023, 22:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/08/2023, 21:30:00"
3,,3.1.85,"09/08/2023, 22:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/08/2023, 22:00:00"
2,,3.1.85,"09/09/2023, 00:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/08/2023, 23:30:00"
1,,3.1.85,"09/09/2023, 03:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe1c9,4,"09/09/2023, 02:30:00"
0,,3.1.85,"09/09/2023, 15:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fe1c9,4,"09/09/2023, 15:00:00"
