,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
11,,3.1.85,"05/27/2023, 02:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/27/2023, 01:30:00"
10,,3.1.85,"05/27/2023, 11:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/27/2023, 11:00:00"
9,,3.1.85,"05/28/2023, 01:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/28/2023, 01:00:00"
8,,3.1.85,"05/28/2023, 20:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/28/2023, 20:00:00"
7,,3.1.85,"05/28/2023, 21:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/28/2023, 21:00:00"
6,,3.1.85,"05/28/2023, 22:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd665,4,"05/28/2023, 22:00:00"
5,,3.1.85,"05/29/2023, 00:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/29/2023, 00:00:00"
4,,3.1.85,"05/29/2023, 05:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/29/2023, 05:00:00"
3,,3.1.85,"05/29/2023, 12:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/29/2023, 11:30:00"
2,,3.1.85,"05/29/2023, 13:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd665,4,"05/29/2023, 13:00:00"
1,,3.1.85,"05/29/2023, 14:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fd665,4,"05/29/2023, 13:30:00"
0,,3.1.85,"05/29/2023, 14:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd665,4,"05/29/2023, 14:00:00"
