,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
10,,13.1.85,"08/22/2023, 01:30:00","{""1"":2,""2"":2}",lumi.158d0008f3a539,4,"08/22/2023, 01:00:00"
9,,13.1.85,"08/22/2023, 02:30:00","{""1"":2}",lumi.158d0008f3a539,4,"08/22/2023, 02:00:00"
8,,13.1.85,"08/22/2023, 06:00:00","{""1"":1}",lumi.158d0008f3a539,4,"08/22/2023, 05:30:00"
7,,13.1.85,"08/22/2023, 21:00:00","{""1"":1}",lumi.158d0008f3a539,4,"08/22/2023, 20:30:00"
6,,13.1.85,"08/22/2023, 21:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a539,4,"08/22/2023, 21:00:00"
5,,13.1.85,"08/23/2023, 18:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a539,4,"08/23/2023, 17:30:00"
4,,13.1.85,"08/23/2023, 19:00:00","{""1"":1}",lumi.158d0008f3a539,4,"08/23/2023, 18:30:00"
3,,13.1.85,"08/23/2023, 23:00:00","{""1"":1}",lumi.158d0008f3a539,4,"08/23/2023, 22:30:00"
2,,13.1.85,"08/24/2023, 02:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a539,4,"08/24/2023, 02:00:00"
1,,13.1.85,"08/24/2023, 23:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a539,4,"08/24/2023, 23:00:00"
0,,13.1.85,"08/25/2023, 00:00:00","{""1"":1}",lumi.158d0008f3a539,4,"08/24/2023, 23:30:00"
