,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
9,,13.1.85,"08/05/2023, 00:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/04/2023, 23:30:00"
8,,13.1.85,"08/05/2023, 01:30:00","{""2"":2}",lumi.158d0008f34cd6,4,"08/05/2023, 01:00:00"
7,,13.1.85,"08/05/2023, 11:30:00","{""1"":3}",lumi.158d0008f34cd6,4,"08/05/2023, 11:00:00"
6,,13.1.85,"08/05/2023, 23:30:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"08/05/2023, 23:00:00"
5,,13.1.85,"08/06/2023, 11:30:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"08/06/2023, 11:00:00"
4,,13.1.85,"08/06/2023, 12:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/06/2023, 11:30:00"
3,,13.1.85,"08/06/2023, 12:30:00","{""1"":3,""2"":2}",lumi.158d0008f34cd6,4,"08/06/2023, 12:00:00"
2,,13.1.85,"08/06/2023, 20:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/06/2023, 19:30:00"
1,,13.1.85,"08/06/2023, 21:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/06/2023, 21:00:00"
0,,13.1.85,"08/06/2023, 22:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/06/2023, 21:30:00"
