,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
23,,13.1.85,"06/05/2023, 00:30:00","{""1"":3}",lumi.158d0008f34c71,4,"06/05/2023, 00:00:00"
22,,13.1.85,"06/05/2023, 01:00:00","{""1"":7,""2"":1}",lumi.158d0008f34c71,4,"06/05/2023, 00:30:00"
21,,13.1.85,"06/05/2023, 01:30:00","{""1"":2,""2"":1}",lumi.158d0008f34c71,4,"06/05/2023, 01:00:00"
20,,13.1.85,"06/05/2023, 02:00:00","{""1"":3,""2"":1}",lumi.158d0008f34c71,4,"06/05/2023, 01:30:00"
19,,13.1.85,"06/06/2023, 00:00:00","{""1"":5,""2"":2}",lumi.158d0008f34c71,4,"06/05/2023, 23:30:00"
18,,13.1.85,"06/06/2023, 00:30:00","{""1"":2}",lumi.158d0008f34c71,4,"06/06/2023, 00:00:00"
17,,13.1.85,"06/06/2023, 02:30:00","{""2"":1}",lumi.158d0008f34c71,4,"06/06/2023, 02:00:00"
16,,13.1.85,"06/06/2023, 03:00:00","{""1"":3,""2"":2}",lumi.158d0008f34c71,4,"06/06/2023, 02:30:00"
15,,13.1.85,"06/06/2023, 03:30:00","{""1"":2,""2"":1}",lumi.158d0008f34c71,4,"06/06/2023, 03:00:00"
14,,13.1.85,"06/06/2023, 04:00:00","{""1"":1,""2"":1}",lumi.158d0008f34c71,4,"06/06/2023, 03:30:00"
13,,13.1.85,"06/06/2023, 04:30:00","{""1"":2}",lumi.158d0008f34c71,4,"06/06/2023, 04:00:00"
12,,13.1.85,"06/06/2023, 05:00:00","{""1"":1,""2"":2}",lumi.158d0008f34c71,4,"06/06/2023, 04:30:00"
11,,13.1.85,"06/06/2023, 22:00:00","{""2"":1}",lumi.158d0008f34c71,4,"06/06/2023, 21:30:00"
10,,13.1.85,"06/06/2023, 22:30:00","{""1"":5}",lumi.158d0008f34c71,4,"06/06/2023, 22:00:00"
9,,13.1.85,"06/06/2023, 23:00:00","{""1"":2,""2"":2}",lumi.158d0008f34c71,4,"06/06/2023, 22:30:00"
8,,13.1.85,"06/06/2023, 23:30:00","{""1"":5,""2"":2}",lumi.158d0008f34c71,4,"06/06/2023, 23:00:00"
7,,13.1.85,"06/07/2023, 00:00:00","{""1"":6,""2"":1}",lumi.158d0008f34c71,4,"06/06/2023, 23:30:00"
6,,13.1.85,"06/07/2023, 00:30:00","{""1"":1,""2"":1}",lumi.158d0008f34c71,4,"06/07/2023, 00:00:00"
5,,13.1.85,"06/07/2023, 01:00:00","{""1"":4,""2"":3}",lumi.158d0008f34c71,4,"06/07/2023, 00:30:00"
4,,13.1.85,"06/07/2023, 01:30:00","{""1"":1,""2"":2}",lumi.158d0008f34c71,4,"06/07/2023, 01:00:00"
3,,13.1.85,"06/07/2023, 02:00:00","{""1"":7,""2"":2}",lumi.158d0008f34c71,4,"06/07/2023, 01:30:00"
2,,13.1.85,"06/07/2023, 02:30:00","{""1"":5,""2"":4}",lumi.158d0008f34c71,4,"06/07/2023, 02:00:00"
1,,13.1.85,"06/07/2023, 23:30:00","{""1"":1}",lumi.158d0008f34c71,4,"06/07/2023, 23:00:00"
0,,13.1.85,"06/08/2023, 00:00:00","{""1"":5,""2"":4}",lumi.158d0008f34c71,4,"06/07/2023, 23:30:00"
