,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
16,,13.1.85,"08/28/2023, 01:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/28/2023, 00:30:00"
15,,13.1.85,"08/28/2023, 09:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/28/2023, 09:00:00"
14,,13.1.85,"08/28/2023, 10:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/28/2023, 09:30:00"
13,,13.1.85,"08/28/2023, 15:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/28/2023, 14:30:00"
12,,13.1.85,"08/28/2023, 19:30:00","{""1"":7}",lumi.158d0008f3a4c6,4,"08/28/2023, 19:00:00"
11,,13.1.85,"08/28/2023, 20:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/28/2023, 19:30:00"
10,,13.1.85,"08/29/2023, 01:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/29/2023, 00:30:00"
9,,13.1.85,"08/29/2023, 01:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"08/29/2023, 01:00:00"
8,,13.1.85,"08/29/2023, 07:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/29/2023, 07:00:00"
7,,13.1.85,"08/29/2023, 08:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/29/2023, 07:30:00"
6,,13.1.85,"08/29/2023, 20:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"08/29/2023, 19:30:00"
5,,13.1.85,"08/29/2023, 20:30:00","{""1"":7}",lumi.158d0008f3a4c6,4,"08/29/2023, 20:00:00"
4,,13.1.85,"08/29/2023, 21:00:00","{""1"":4}",lumi.158d0008f3a4c6,4,"08/29/2023, 20:30:00"
3,,13.1.85,"08/29/2023, 21:30:00","{""1"":3}",lumi.158d0008f3a4c6,4,"08/29/2023, 21:00:00"
2,,13.1.85,"08/30/2023, 08:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/30/2023, 08:00:00"
1,,13.1.85,"08/30/2023, 09:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/30/2023, 09:00:00"
0,,13.1.85,"08/30/2023, 23:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/30/2023, 23:00:00"
