,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1106508451140620288,2023-07-24 22:31:49.980,GMT+09:00,lumi.gateway.aqcn03,2023-07-24 22:31:49.980,1,1,3.3.0_0020.0004,Hub E1,lumi1.54ef4437d886
1,lumi1.54ef4437d886,real2.1106508451140620288,2023-07-24 22:31:49.980,GMT+09:00,lumi.vibration.aq1,2023-07-24 22:31:49.980,3,0,0.0.0_0008,Chair,lumi.158d0008f3a560
2,lumi1.54ef4437d886,real2.1106508451140620288,2023-07-24 22:31:49.980,GMT+09:00,lumi.magnet.agl02,2023-07-24 22:31:49.980,3,1,0.0.0_0029,Microwave,lumi.54ef4410003fe822
3,lumi1.54ef4437d886,real2.1106508451140620288,2023-07-24 22:31:49.980,GMT+09:00,lumi.sen_ill.agl01,2023-07-24 22:31:49.980,3,1,0.0.0_0027,Brightness Sensor,lumi.54ef44100065d666
4,lumi1.54ef4437d886,real2.1106508451140620288,2023-07-24 22:31:49.980,GMT+09:00,lumi.sensor_ht.agl02,2023-07-24 22:31:49.980,3,1,0.0.0_0028,Temperature and Humidity Sensor,lumi.54ef4410004b0b21
5,lumi1.54ef4437d886,real2.1106508451140620288,2023-10-06 20:23:39.888,GMT+09:00,lumi.vibration.aq1,2023-10-06 20:23:39.888,3,1,0.0.0_0008,Washer,lumi.158d0008f3a554
6,lumi1.54ef4437d886,real2.1106508451140620288,2023-10-06 20:24:32.150,GMT+09:00,lumi.motion.agl02,2023-10-06 20:24:32.150,3,1,0.0.0_0035,Motion Sensor,lumi.54ef44100051b205
7,lumi1.54ef4437d886,real2.1106508451140620288,2023-10-06 20:26:33.368,GMT+09:00,lumi.magnet.agl02,2023-10-06 20:26:33.368,3,1,0.0.0_0029,Door,lumi.54ef4410003fd759
8,lumi1.54ef4437d886,real2.1106508451140620288,2023-10-06 20:27:14.672,GMT+09:00,lumi.vibration.aq1,2023-10-06 20:27:14.672,3,1,0.0.0_0008,Cleaner(Roller),lumi.158d0008f34b74
