,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
13,,3.1.85,"09/01/2023, 02:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/01/2023, 01:30:00"
12,,3.1.85,"09/01/2023, 11:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/01/2023, 10:30:00"
11,,3.1.85,"09/01/2023, 15:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/01/2023, 14:30:00"
10,,3.1.85,"09/01/2023, 15:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd291,4,"09/01/2023, 15:00:00"
9,,3.1.85,"09/01/2023, 23:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/01/2023, 22:30:00"
8,,3.1.85,"09/02/2023, 11:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/02/2023, 10:30:00"
7,,3.1.85,"09/02/2023, 11:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/02/2023, 11:00:00"
6,,3.1.85,"09/02/2023, 12:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/02/2023, 11:30:00"
5,,3.1.85,"09/02/2023, 23:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/02/2023, 23:00:00"
4,,3.1.85,"09/03/2023, 12:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd291,4,"09/03/2023, 12:00:00"
3,,3.1.85,"09/03/2023, 13:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/03/2023, 12:30:00"
2,,3.1.85,"09/03/2023, 17:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd291,4,"09/03/2023, 17:00:00"
1,,3.1.85,"09/03/2023, 18:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd291,4,"09/03/2023, 18:00:00"
0,,3.1.85,"09/03/2023, 21:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fd291,4,"09/03/2023, 21:00:00"
