,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
11,,13.1.85,"05/24/2023, 00:30:00","{""1"":4}",lumi.158d0008f3a542,4,"05/24/2023, 00:00:00"
10,,13.1.85,"05/24/2023, 01:00:00","{""1"":1}",lumi.158d0008f3a542,4,"05/24/2023, 00:30:00"
9,,13.1.85,"05/24/2023, 02:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a542,4,"05/24/2023, 01:30:00"
8,,13.1.85,"05/24/2023, 10:30:00","{""1"":1}",lumi.158d0008f3a542,4,"05/24/2023, 10:00:00"
7,,13.1.85,"05/24/2023, 14:00:00","{""1"":1}",lumi.158d0008f3a542,4,"05/24/2023, 13:30:00"
6,,13.1.85,"05/25/2023, 01:30:00","{""1"":3}",lumi.158d0008f3a542,4,"05/25/2023, 01:00:00"
5,,13.1.85,"05/25/2023, 09:30:00","{""1"":1}",lumi.158d0008f3a542,4,"05/25/2023, 09:00:00"
4,,13.1.85,"05/26/2023, 10:30:00","{""1"":1}",lumi.158d0008f3a542,4,"05/26/2023, 10:00:00"
3,,13.1.85,"05/26/2023, 20:30:00","{""1"":2}",lumi.158d0008f3a542,4,"05/26/2023, 20:00:00"
2,,13.1.85,"05/26/2023, 21:30:00","{""1"":3}",lumi.158d0008f3a542,4,"05/26/2023, 21:00:00"
1,,13.1.85,"05/26/2023, 22:00:00","{""1"":3}",lumi.158d0008f3a542,4,"05/26/2023, 21:30:00"
0,,13.1.85,"05/26/2023, 22:30:00","{""1"":2}",lumi.158d0008f3a542,4,"05/26/2023, 22:00:00"
