,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
24,,13.1.85,"09/16/2023, 08:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"09/16/2023, 08:00:00"
23,,13.1.85,"09/16/2023, 17:00:00","{""1"":2}",lumi.158d0008f34ed7,4,"09/16/2023, 16:30:00"
22,,13.1.85,"09/16/2023, 17:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"09/16/2023, 17:00:00"
21,,13.1.85,"09/16/2023, 18:00:00","{""1"":3,""2"":1}",lumi.158d0008f34ed7,4,"09/16/2023, 17:30:00"
20,,13.1.85,"09/16/2023, 18:30:00","{""1"":2,""2"":1}",lumi.158d0008f34ed7,4,"09/16/2023, 18:00:00"
19,,13.1.85,"09/17/2023, 12:30:00","{""1"":3}",lumi.158d0008f34ed7,4,"09/17/2023, 12:00:00"
18,,13.1.85,"09/17/2023, 13:00:00","{""1"":3}",lumi.158d0008f34ed7,4,"09/17/2023, 12:30:00"
17,,13.1.85,"09/17/2023, 14:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"09/17/2023, 14:00:00"
16,,13.1.85,"09/17/2023, 15:00:00","{""1"":3}",lumi.158d0008f34ed7,4,"09/17/2023, 14:30:00"
15,,13.1.85,"09/17/2023, 15:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"09/17/2023, 15:00:00"
14,,13.1.85,"09/17/2023, 16:00:00","{""1"":2}",lumi.158d0008f34ed7,4,"09/17/2023, 15:30:00"
13,,13.1.85,"09/17/2023, 17:00:00","{""1"":2}",lumi.158d0008f34ed7,4,"09/17/2023, 16:30:00"
12,,13.1.85,"09/17/2023, 17:30:00","{""1"":1,""2"":2}",lumi.158d0008f34ed7,4,"09/17/2023, 17:00:00"
11,,13.1.85,"09/17/2023, 18:30:00","{""2"":1}",lumi.158d0008f34ed7,4,"09/17/2023, 18:00:00"
10,,13.1.85,"09/17/2023, 21:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"09/17/2023, 21:00:00"
9,,13.1.85,"09/17/2023, 22:30:00","{""1"":4,""2"":2}",lumi.158d0008f34ed7,4,"09/17/2023, 22:00:00"
8,,13.1.85,"09/17/2023, 23:00:00","{""1"":3}",lumi.158d0008f34ed7,4,"09/17/2023, 22:30:00"
7,,13.1.85,"09/17/2023, 23:30:00","{""1"":3,""2"":1}",lumi.158d0008f34ed7,4,"09/17/2023, 23:00:00"
6,,13.1.85,"09/18/2023, 00:00:00","{""1"":1}",lumi.158d0008f34ed7,4,"09/17/2023, 23:30:00"
5,,13.1.85,"09/18/2023, 08:30:00","{""1"":1,""2"":1}",lumi.158d0008f34ed7,4,"09/18/2023, 08:00:00"
4,,13.1.85,"09/18/2023, 19:00:00","{""1"":1}",lumi.158d0008f34ed7,4,"09/18/2023, 18:30:00"
3,,13.1.85,"09/18/2023, 19:30:00","{""1"":1,""2"":1}",lumi.158d0008f34ed7,4,"09/18/2023, 19:00:00"
2,,13.1.85,"09/18/2023, 22:00:00","{""1"":2,""2"":1}",lumi.158d0008f34ed7,4,"09/18/2023, 21:30:00"
1,,13.1.85,"09/18/2023, 23:00:00","{""1"":2}",lumi.158d0008f34ed7,4,"09/18/2023, 22:30:00"
0,,13.1.85,"09/18/2023, 23:30:00","{""1"":4,""2"":3}",lumi.158d0008f34ed7,4,"09/18/2023, 23:00:00"
