,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
32,,3.1.85,"06/08/2023, 00:30:00","{""1"":14}",lumi.54ef44100051ac1c,4,"06/08/2023, 00:00:00"
31,,3.1.85,"06/08/2023, 01:00:00","{""1"":11}",lumi.54ef44100051ac1c,4,"06/08/2023, 00:30:00"
30,,3.1.85,"06/08/2023, 01:30:00","{""1"":6}",lumi.54ef44100051ac1c,4,"06/08/2023, 01:00:00"
29,,3.1.85,"06/08/2023, 02:00:00","{""1"":9}",lumi.54ef44100051ac1c,4,"06/08/2023, 01:30:00"
28,,3.1.85,"06/08/2023, 02:30:00","{""1"":4}",lumi.54ef44100051ac1c,4,"06/08/2023, 02:00:00"
27,,3.1.85,"06/08/2023, 04:00:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/08/2023, 03:30:00"
26,,3.1.85,"06/09/2023, 00:30:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/09/2023, 00:00:00"
25,,3.1.85,"06/09/2023, 01:00:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/09/2023, 00:30:00"
24,,3.1.85,"06/09/2023, 01:30:00","{""1"":11}",lumi.54ef44100051ac1c,4,"06/09/2023, 01:00:00"
23,,3.1.85,"06/09/2023, 02:00:00","{""1"":10}",lumi.54ef44100051ac1c,4,"06/09/2023, 01:30:00"
22,,3.1.85,"06/09/2023, 02:30:00","{""1"":14}",lumi.54ef44100051ac1c,4,"06/09/2023, 02:00:00"
21,,3.1.85,"06/09/2023, 03:00:00","{""1"":15}",lumi.54ef44100051ac1c,4,"06/09/2023, 02:30:00"
20,,3.1.85,"06/09/2023, 03:30:00","{""1"":7}",lumi.54ef44100051ac1c,4,"06/09/2023, 03:00:00"
19,,3.1.85,"06/09/2023, 04:00:00","{""1"":9}",lumi.54ef44100051ac1c,4,"06/09/2023, 03:30:00"
18,,3.1.85,"06/09/2023, 04:30:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/09/2023, 04:00:00"
17,,3.1.85,"06/09/2023, 05:30:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/09/2023, 05:00:00"
16,,3.1.85,"06/09/2023, 16:00:00","{""1"":2}",lumi.54ef44100051ac1c,4,"06/09/2023, 15:30:00"
15,,3.1.85,"06/09/2023, 23:30:00","{""1"":3}",lumi.54ef44100051ac1c,4,"06/09/2023, 23:00:00"
14,,3.1.85,"06/10/2023, 00:00:00","{""1"":2}",lumi.54ef44100051ac1c,4,"06/09/2023, 23:30:00"
13,,3.1.85,"06/10/2023, 00:30:00","{""1"":11}",lumi.54ef44100051ac1c,4,"06/10/2023, 00:00:00"
12,,3.1.85,"06/10/2023, 01:00:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/10/2023, 00:30:00"
11,,3.1.85,"06/10/2023, 01:30:00","{""1"":3}",lumi.54ef44100051ac1c,4,"06/10/2023, 01:00:00"
10,,3.1.85,"06/10/2023, 02:00:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/10/2023, 01:30:00"
9,,3.1.85,"06/10/2023, 02:30:00","{""1"":2}",lumi.54ef44100051ac1c,4,"06/10/2023, 02:00:00"
8,,3.1.85,"06/10/2023, 03:00:00","{""1"":19}",lumi.54ef44100051ac1c,4,"06/10/2023, 02:30:00"
7,,3.1.85,"06/10/2023, 03:30:00","{""1"":18}",lumi.54ef44100051ac1c,4,"06/10/2023, 03:00:00"
6,,3.1.85,"06/10/2023, 04:00:00","{""1"":16}",lumi.54ef44100051ac1c,4,"06/10/2023, 03:30:00"
5,,3.1.85,"06/10/2023, 04:30:00","{""1"":18}",lumi.54ef44100051ac1c,4,"06/10/2023, 04:00:00"
4,,3.1.85,"06/10/2023, 05:00:00","{""1"":20}",lumi.54ef44100051ac1c,4,"06/10/2023, 04:30:00"
3,,3.1.85,"06/10/2023, 05:30:00","{""1"":17}",lumi.54ef44100051ac1c,4,"06/10/2023, 05:00:00"
2,,3.1.85,"06/10/2023, 06:00:00","{""1"":4}",lumi.54ef44100051ac1c,4,"06/10/2023, 05:30:00"
1,,3.1.85,"06/10/2023, 22:00:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/10/2023, 21:30:00"
0,,3.1.85,"06/10/2023, 23:30:00","{""1"":1}",lumi.54ef44100051ac1c,4,"06/10/2023, 23:00:00"
