,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
30,,3.1.85,"05/15/2023, 00:30:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/15/2023, 00:00:00"
29,,3.1.85,"05/15/2023, 01:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/15/2023, 00:30:00"
28,,3.1.85,"05/15/2023, 02:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/15/2023, 02:00:00"
27,,3.1.85,"05/15/2023, 05:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/15/2023, 05:00:00"
26,,3.1.85,"05/15/2023, 06:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/15/2023, 05:30:00"
25,,3.1.85,"05/15/2023, 06:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/15/2023, 06:00:00"
24,,3.1.85,"05/15/2023, 07:30:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/15/2023, 07:00:00"
23,,3.1.85,"05/15/2023, 08:00:00","{""1"":15}",lumi.54ef44100051ad7c,4,"05/15/2023, 07:30:00"
22,,3.1.85,"05/15/2023, 22:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/15/2023, 22:00:00"
21,,3.1.85,"05/15/2023, 23:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/15/2023, 22:30:00"
20,,3.1.85,"05/15/2023, 23:30:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/15/2023, 23:00:00"
19,,3.1.85,"05/16/2023, 00:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/16/2023, 00:00:00"
18,,3.1.85,"05/16/2023, 02:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/16/2023, 02:00:00"
17,,3.1.85,"05/16/2023, 03:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/16/2023, 03:00:00"
16,,3.1.85,"05/16/2023, 04:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/16/2023, 03:30:00"
15,,3.1.85,"05/16/2023, 06:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/16/2023, 06:00:00"
14,,3.1.85,"05/16/2023, 08:00:00","{""1"":8}",lumi.54ef44100051ad7c,4,"05/16/2023, 07:30:00"
13,,3.1.85,"05/17/2023, 01:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/17/2023, 00:30:00"
12,,3.1.85,"05/17/2023, 01:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/17/2023, 01:00:00"
11,,3.1.85,"05/17/2023, 03:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/17/2023, 03:00:00"
10,,3.1.85,"05/17/2023, 06:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/17/2023, 06:00:00"
9,,3.1.85,"05/17/2023, 07:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/17/2023, 06:30:00"
8,,3.1.85,"05/17/2023, 07:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/17/2023, 07:00:00"
7,,3.1.85,"05/17/2023, 08:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/17/2023, 07:30:00"
6,,3.1.85,"05/17/2023, 19:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/17/2023, 19:00:00"
5,,3.1.85,"05/17/2023, 20:00:00","{""1"":6}",lumi.54ef44100051ad7c,4,"05/17/2023, 19:30:00"
4,,3.1.85,"05/17/2023, 21:30:00","{""1"":8}",lumi.54ef44100051ad7c,4,"05/17/2023, 21:00:00"
3,,3.1.85,"05/17/2023, 22:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/17/2023, 21:30:00"
2,,3.1.85,"05/17/2023, 22:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/17/2023, 22:00:00"
1,,3.1.85,"05/17/2023, 23:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/17/2023, 22:30:00"
0,,3.1.85,"05/17/2023, 23:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/17/2023, 23:00:00"
