,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,13.1.85,"05/12/2023, 02:00:00","{""1"":2}",lumi.158d0008f3a542,4,"05/12/2023, 01:30:00"
13,,13.1.85,"05/12/2023, 10:00:00","{""1"":1}",lumi.158d0008f3a542,4,"05/12/2023, 09:30:00"
12,,13.1.85,"05/12/2023, 17:00:00","{""1"":4}",lumi.158d0008f3a542,4,"05/12/2023, 16:30:00"
11,,13.1.85,"05/12/2023, 19:00:00","{""1"":1}",lumi.158d0008f3a542,4,"05/12/2023, 18:30:00"
10,,13.1.85,"05/12/2023, 19:30:00","{""1"":1}",lumi.158d0008f3a542,4,"05/12/2023, 19:00:00"
9,,13.1.85,"05/12/2023, 20:00:00","{""1"":2}",lumi.158d0008f3a542,4,"05/12/2023, 19:30:00"
8,,13.1.85,"05/13/2023, 00:30:00","{""1"":1}",lumi.158d0008f3a542,4,"05/13/2023, 00:00:00"
7,,13.1.85,"05/13/2023, 09:30:00","{""1"":2,""2"":1}",lumi.158d0008f3a542,4,"05/13/2023, 09:00:00"
6,,13.1.85,"05/13/2023, 11:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a542,4,"05/13/2023, 11:00:00"
5,,13.1.85,"05/14/2023, 11:00:00","{""1"":2}",lumi.158d0008f3a542,4,"05/14/2023, 10:30:00"
4,,13.1.85,"05/14/2023, 11:30:00","{""1"":2}",lumi.158d0008f3a542,4,"05/14/2023, 11:00:00"
3,,13.1.85,"05/14/2023, 12:00:00","{""1"":2}",lumi.158d0008f3a542,4,"05/14/2023, 11:30:00"
2,,13.1.85,"05/14/2023, 17:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a542,4,"05/14/2023, 17:00:00"
1,,13.1.85,"05/14/2023, 18:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a542,4,"05/14/2023, 17:30:00"
0,,13.1.85,"05/14/2023, 20:00:00","{""1"":1}",lumi.158d0008f3a542,4,"05/14/2023, 19:30:00"
