,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
11,,13.1.85,"06/05/2023, 01:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"06/05/2023, 01:00:00"
10,,13.1.85,"06/05/2023, 20:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"06/05/2023, 20:00:00"
9,,13.1.85,"06/05/2023, 22:00:00","{""1"":1}",lumi.158d0008f3a544,4,"06/05/2023, 21:30:00"
8,,13.1.85,"06/05/2023, 22:30:00","{""1"":1}",lumi.158d0008f3a544,4,"06/05/2023, 22:00:00"
7,,13.1.85,"06/06/2023, 00:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"06/05/2023, 23:30:00"
6,,13.1.85,"06/06/2023, 11:30:00","{""1"":2,""2"":2}",lumi.158d0008f3a544,4,"06/06/2023, 11:00:00"
5,,13.1.85,"06/06/2023, 22:30:00","{""1"":2,""2"":1}",lumi.158d0008f3a544,4,"06/06/2023, 22:00:00"
4,,13.1.85,"06/07/2023, 04:30:00","{""1"":2,""2"":2}",lumi.158d0008f3a544,4,"06/07/2023, 04:00:00"
3,,13.1.85,"06/07/2023, 14:30:00","{""1"":2}",lumi.158d0008f3a544,4,"06/07/2023, 14:00:00"
2,,13.1.85,"06/07/2023, 22:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"06/07/2023, 21:30:00"
1,,13.1.85,"06/07/2023, 22:30:00","{""1"":1}",lumi.158d0008f3a544,4,"06/07/2023, 22:00:00"
0,,13.1.85,"06/07/2023, 23:00:00","{""1"":1}",lumi.158d0008f3a544,4,"06/07/2023, 22:30:00"
